Model,MAE,RMSE,MAPE,Parameters
GRU,2565.29541015625,3135.6288045621727,1.8679125479449814,38849
XGBoost,5316.453125,5860.272007338908,3.9708815343630173,N/A
LSTM,6832.6591796875,7428.184165729873,5.147900326326525,51777
