Model,MAE,RMSE,MAPE,Parameters
GRU,1858.9906005859375,1892.944597710139,1.3769734629626118,38849
BiLSTM,2347.94384765625,2596.9438769445906,1.7700247213078901,10305
XGBoost,5316.453125,5860.272007338908,3.9708815343630173,N/A
